name,genre,cleanGenre,kmeans_label
Timebomb,power-pop,power-pop,4
Cool For Cats,synth-pop,synth-pop,4
Better Man,grunge,grunge,4
Ain't That A Kick In The Head,jazz,jazz,4
She's Got a Way,piano,piano,4
Innocent,grunge,grunge,4
Dear John,honky-tonk,honky-tonk,4
Africa,rock,rock,4
Ain't No Sunshine,"funk, soul",funk,4
This I Love,hard-rock,hard-rock,4
Only In Dreams,power-pop,power-pop,4
Something in Your Mouth,grunge,grunge,4
Hallelujah I Love Her So,piano,piano,4
Be Careful Of Stones That You Throw,honky-tonk,honky-tonk,4
The Boys Are Back In Town,"blues, blues, hard-rock, hard-rock, metal, metal",blues,4
Steal My Girl,pop,pop,4
Fell In Love With a Girl,"blues, garage, punk-rock, punk",garage,4
Rabbit In Your Headlights,trip-hop,trip-hop,4
Bossa Nova Baby,rockabilly,rockabilly,4
It's Not Cricket,power-pop,power-pop,4
She Wants To Dance With Me,synth-pop,synth-pop,4
Another Nail In My Heart,"power-pop, synth-pop",power-pop,4
Funny Familiar Forgotten Feelings,british,british,4
Chemical Smile,grunge,grunge,4
Babooshka,piano,piano,4
To Love A Woman,disco,disco,4
Up The Junction,"power-pop, synth-pop",power-pop,4
My Babe,acoustic,acoustic,4
Goodbye Girl,"power-pop, synth-pop",power-pop,4
Hope,grunge,grunge,4
Fake Plastic Trees,"alt-rock, alternative",alt-rock,4
Surrender,power-pop,power-pop,4
Julia,grunge,grunge,4
Polly,grunge,grunge,4
Automatic Flowers,grunge,grunge,4
OK,industrial,industrial,4
Little Wing,blues,blues,4
From The Morning,british,british,4
Christmas Cookies,"country, country, rock, rock",country,4
Lake Of Fire,grunge,grunge,4
First Year Blues,honky-tonk,honky-tonk,4
There's Nothing As Sweet As My Baby,honky-tonk,honky-tonk,4
Ma Baker,disco,disco,4
Any Way You Want It,hard-rock,hard-rock,4
Killing Me Softly With Her Song,"j-pop, jazz",j-pop,4
I Dreamed About Mama Last Night,honky-tonk,honky-tonk,4
The Look,swedish,swedish,4
Hero,progressive-house,progressive-house,4
California Zephyr,honky-tonk,honky-tonk,4
Out of Sync,synth-pop,synth-pop,4
Dance In The Dark,dance,dance,4
Pride and Joy,blues,blues,4
Los,industrial,industrial,4
She,punk,punk,4
Piccadilly,"power-pop, synth-pop",power-pop,4
Whiskey Lullaby,bluegrass,bluegrass,4
Dirty Dancer,latin,latin,4
Lady In Black,psych-rock,psych-rock,4
Dani California,"alt-rock, alternative, funk, metal",funk,4
Out Of Tune,trip-hop,trip-hop,4
Knocking At Your Back Door,psych-rock,psych-rock,4
Uptown Girl,piano,piano,4
Catch The Rainbow,"blues, hard-rock",blues,4
Brothers of a Bottle,honky-tonk,honky-tonk,4
Mary,synth-pop,synth-pop,4
Rumour Has It,"british, soul",british,4
Ding-Dong! The Witch Is Dead,"blues, jazz",jazz,4
Pink Triangle,power-pop,power-pop,4
All Right Now,"blues, british, psych-rock",british,4
"Hallelujah, I Love Her So","blues, piano",piano,4
Devil Woman,rock-n-roll,rock-n-roll,4
Jackie Cane,trip-hop,trip-hop,4
Shut Up and Dance,"alt-rock, alternative, rock",alt-rock,4
Mr. Jones,"alt-rock, alternative, alternative, rock, rock",alt-rock,4
Delilah,british,british,4
Days of the Week,grunge,grunge,4
The Frail,industrial,industrial,4
Tube Snake Boogie,"blues, hard-rock",blues,4
Don't Send Me No Angels,honky-tonk,honky-tonk,4
